"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0015024C",1,3,0,27,21,36,24,52,36,105,86,NA,NA,NA,NA,NA,NA,NA,0,NA
"0015025C",1,3,0,30,29,45,45,60,63,127,102,153,142,173,145,3,12000,1,0,0
"0015026C",1,3,0,33,36,36,51,62,86,169,124,174,140,201,160,2,50000,2,0,0
"0016001C",1,3,0,35,40,48,65,76,75,106,128,166,141,NA,NA,1,50000,0,0,0
"0016002C",1,3,0,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10200,1,NA,NA
"0016003C",1,3,1,34,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8000,0,NA,NA
"0016004C",1,3,1,34,29,35,30,64,44,108,62,148,99,165,126,2,35000,0,0,0
"0016005C",1,3,0,25,18,33,33,NA,NA,NA,NA,NA,NA,NA,NA,2,30000,1,0,NA
"0016006C",1,3,0,25,18,29,28,NA,NA,NA,NA,NA,NA,NA,NA,1,40000,0,0,0
"0016007C",1,3,1,24,20,32,23,40,47,NA,NA,NA,NA,NA,NA,1,16776,0,0,0
"0016008C",1,3,0,24,13,26,15,39,23,65,42,90,60,117,79,1,31000,0,0,0
"0016009C",1,3,0,24,18,33,29,51,39,105,54,133,119,165,120,1,30000,0,0,0
"0016010C",1,3,0,24,18,32,21,44,30,NA,NA,NA,NA,NA,NA,3,6888,0,0,0
"0020001C",1,3,1,41,22,46,30,88,57,104,74,146,115,156,140,1,37000,1,0,0
"0020002C",1,3,0,32,20,38,29,78,58,128,90,148,129,190,147,1,45000,1,0,0
"0020003C",1,3,1,46,41,50,47,106,70,164,115,185,143,201,151,1,35000,1,0,0
"0020004C",1,3,1,31,17,34,20,47,30,72,62,119,86,176,131,1,35000,0,0,0
"0020005C",1,3,0,26,19,35,23,53,36,103,89,130,126,NA,NA,NA,50000,1,0,0
"0020006C",1,3,1,32,18,39,26,72,57,149,81,NA,NA,NA,NA,1,29100,0,0,0
"0020007C",1,3,1,41,32,48,38,65,60,124,100,165,140,183,158,1,35000,1,0,0
"0020008C",1,3,0,32,23,40,30,65,49,121,75,147,118,189,146,NA,29000,0,0,0
"0020009C",1,3,0,36,23,39,27,72,64,NA,NA,NA,NA,NA,NA,1,20000,1,0,0
"0020010C",1,3,0,27,25,34,31,54,33,106,103,NA,NA,NA,NA,1,68000,2,0,0
"0020011C",1,3,0,NA,NA,37,28,NA,NA,NA,NA,NA,NA,NA,NA,1,109,1,0,0
"0020012C",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49000,2,NA,NA
"0020013C",1,3,1,31,22,45,36,58,25,112,75,130,119,173,122,2,34000,1,0,0
"0020014C",1,3,0,36,40,56,39,92,86,143,117,158,146,185,158,1,95000,1,0,0
"0020015C",1,3,0,28,20,37,27,NA,NA,NA,NA,NA,NA,NA,NA,2,12000,1,0,NA
"0020016C",1,3,1,33,22,37,28,55,52,80,73,120,92,166,129,1,60000,0,0,0
"0020017C",1,3,0,29,22,38,36,54,40,91,NA,153,135,180,143,4,11000,1,0,0
"0020018C",1,3,0,NA,NA,24,12,34,16,NA,42,76,52,NA,NA,1,1e+05,2,0,0
"0020019C",1,3,0,33,26,40,34,74,69,129,126,158,136,181,152,3,25000,0,0,0
"0020020C",1,3,1,33,24,48,33,92,57,122,104,147,126,175,162,1,16000,0,0,0
"0020021C",1,3,1,38,28,46,33,NA,NA,NA,NA,NA,NA,NA,NA,1,50000,1,0,0
"0020022C",1,3,0,NA,NA,48,39,66,36,126,109,141,127,191,153,2,47000,1,0,0
"0020023C",1,3,0,29,30,42,40,94,86,NA,NA,NA,NA,NA,NA,3,74000,1,0,0
"0020024C",1,3,0,33,22,37,28,48,41,68,60,89,68,155,149,2,40000,0,0,0
"0021001C",1,3,1,33,24,44,28,89,55,141,90,126,119,169,137,1,26000,0,0,0
